date,feedback_content,sentiment
13-08-2017,"
This closing went pretty smooth with the exception of a few bumps. The customer service agent was prompt with responses as well as document transfers. I was not keen on doing a refinance all electronic through email and phone, but I have to say, the process was easy and went well. I got a great rate and the closing costs were good.

The only issue I had was at closing, the final documents were written for a 30 year loan and it was suppose to be a 25 year loan, An issue happened at the final writing so I did not close on the specified closing date, it happened a day later after the papers were rewritten. It was great they were able to resolve it in one day, the bad part was I got charged a rate lock extension fee as my rate lock expired on the day I was suppose to close. I am sure I could have fought them on the fee as it was caused because of their mistake but now I was closing on New years eave and did not want to carry the closing over to the new year... Read More
        ",negative
07-10-2016,"
Great customer service and very helpful.
        ",positive
08-01-2016,"
Very helpful and great customer service.
        ",positive
18-01-2017,"
You can tell about his character and honesty from the very beginning, I couldn't be happier.
Thank you Mark!
        ",positive
02-12-2017,"
Buying a house is the most stressful thing I have done. Specially with the developer company I had to deal with!, but Mark and his team were the best !
They were always helpful, on time, and went the extra mile to help me and solve all my questions.

I am really happy I chose them!, from the very beginning they showed their professionalism and their customer care skills.

From the bottom of my heart! thank you!! for helping me get my first home!!

... Read More
        ",positive
29-02-2016,"
Mark and his team were very helpful and provided a great experience, fast closing and competitive rates.
        ",positive
19-10-2017,"
Bob did amazing job. Process was smooth and stress free . Definitely responded super fast and helpful. 101% satisfied.
        ",positive
15-01-2016,"
Very professional yet personable.  Quick to help with any questions or obstacles to the funding process.  I highly recommend Peter Lammerts and his team.
        ",positive
07-03-2016,"
It was a pleasure to work with Christopher Waymire through the process. He made it easy and painless. His staff and supporting team was awesome! I highly recommend their company.
        ",positive
04-01-2017,"
Great first time home buying experience.  Have already recommended Triumph to friends and family.  

The communication is what really made the difference.  Stephanie and staff were quick to respond to my emails, answering our questions, and providing reassurance. That is something that seems to be  lacking these days when it comes to conducting business.  
        ",positive
16-08-2016,"
I was trying to decide between Triumph Lending and a much larger company whose name starts with a Q and they have a spaceship logo.  I'm so happy I went with Triumph.  The other company got all needy and wouldn't stop trying to call me once I chose Triumph.  However, Triumph didn't play any games with me, they responded more quickly, they took the time to educate me, didn't use any gimmicky sales techniques, and were pleasant to work with through the whole process.  I'm so happy with their work, that I'm going to use them again when I buy a rental property next year. ... Read More
        ",positive
27-05-2016,"
This was my first home purchas; however, with Peter and Monicas support, they made this such an easy and smooth process.  I always hear about the stress and challenges when buying a house, but the day Peter called and told me we were all good to go and would be closing in a couple weeks I laughed and honestly thought he was joking.  Thats how simple and quick they were with my loan; I was actually able to enjoy the entire process from application to closing.   Their response time to emails was unbelievable; you would have a response within minutes at almost all hours of the day.  All in all, they exceeded the bar with customer service (would of given them 100 stars if it was option), were extremely fast in the loan process, got me an outstanding rate, and continued to call all the way through closing to make sure everything was going well!  If youre in the market to buy a home or refinance Peter and his team are the ones for you.  Thank you so much for all you did, I can never thank you enough!  All the best to you... Read More
        ",positive
12-09-2017,"
Andy was an incredible resource and guide throughout our first home-buying experience! He is highly skilled, always willing to help, and perhaps most importantly of all, understanding. He answered my countless questions (even through text messages at night!) with a calm and professional demeanor that absolutely reassured me throughout the closing process. We plan on refinancing in a few years and we have the utmost confidence that Andy will be able to provide another superior experience. Looking forward to working with you again, Andy... Read More
        ",positive
17-05-2017,"
Thank you Peter for always getting back to me right away with any questions and making sure this was a smooth process and my Loan closed on time! We appreciate this so much. 
        ",positive
02-02-2017,"
Found Triumph online and reached out. We loved that they were very easy to get a hold of, answered all our questions and went above and beyond to make sure we understood the whole process. The team is very responsive and keeps up with everything you still need going forward. We closed late on a Friday and funding happened relatively fast without any hiccups. Would hands down recommend them anyone purchasing a house as they made the process run smoothly.... Read More
        ",positive
27-09-2017,"
I had a good gut feeling about Triumph Lending, but I wasted a lot of time checking with a few other mortgage companies.

Those other companies were all over the map. There were two I never heard back from after the pre-approval stage. One of them completely ignored one an email I sent as a follow up to a phone call. Another waited a month to call me back. Two of them promised information and ever provided it.

The real prize winner was particularly pushy and was completely unprofessional when I informed him I had decided to use Triumph lending because they're closing costs were thousands of dollars lower.

But everyone I worked with at Triumph, mostly Vanessa Flores (Loan Officer) & Alina Vargas (Loan Processor), took every question seriously, never failed to respond to a request (quickly and accurately), and I know it sounds cliche, but I felt like I was more than just a number to them.

Thanks to them, my wife and I are getting our first home... Read More
        ",positive
15-01-2016,"
Vanessa was, in a word, fantastic.

She was there for me every step of the way, with a perfect balance of professionalism and enthusiasm.

She was always very quick to respond to respond to my questions and, even more importantly, her answers were always right.

I did check with a few other mortgage companies and their representatives couldn't hold a candle to her... Read More
        ",positive
24-05-2017,"
It was a pleasure with John. Besides all the fees and closing costs being lower than other brokers that I reached out to, John was involved in every step of the way. He was on top of every element of the transaction and communicated timely, nothing was left to chance and even the loan was ready to be funded one week prior to closing day!
Having shopped around and compared other brokers, I know I made a great decision (financially and for peace of mind) going with John. I would not hesitate to recommend his services to anyone looking for a home loan... Read More
        ",positive
01-01-2018,"
Triumph was extremely efficient.  I was so pleased with the streamlined processes and use of technology.  The entire team that we worked with was knowledgeable, provided real time feed back, and very personable.  We had an awesome experience with Triumph and will definitely recommend to other home buyers.
        ",positive
14-02-2016,"
Excellent customer service - had a great experience working with lender Marcos Maya & team!
        ",positive
25-11-2017,"
I cannot say enough great things about Peter and his team. Peter was always available, always responded right away and answered all my questions. Not only did he answer my questions, he took the time to explain everything in detail and made sure I understood the answer and/or process. 
        ",positive
03-07-2016,"
Buying a house can be painful! You have to fill out applications, produce proof of financials, etc...  But Chris and his team made this easy.  They were so easy to work with.  Very organized and always ready to answer a question or explain why something was needed.  Chris is friendly, knowledgeable and professional.  He always had our best interest in mind and communicated with us every step of the way.  Best home loan experience we have ever had. ... Read More
        ",positive
11-10-2017,"
Stephanie was amazing, she was side by side with us during the process, answering all our questions and fighting for us. She did more for us than our own realtor. I absolutely recommend her and her team. You guys rock! 
        ",positive
04-03-2017,"
Stephanie was amazing. We just bought our first house in Houston and we cant be more thankful for all the patience and help she gave us. Working with her was a pleasure, she did more for us than our own realtor and Ill never forget it. Thank you Stephanie youre the best. We highly recommend her!
        ",positive
26-10-2017,"
Great experience, great people!
        ",positive
23-01-2016,"
Working with Chris was easy.  He listens to your needs, understands them and does his best to meet them.  He is open, upfront, honest, communicates quickly, thorough and delivers a high level of customer service.  His under writing and processing was the best and fastest I've ever seen.  If you want a great loan experience then do business with Chris, he won't let you down... Read More
        ",positive
28-04-2016,"
Great to work with, very responsive to all my inquiries.
        ",positive
07-03-2016,"
Stephanie, Alina and Phillip were great to work. They made the process quick and painless, highly recommend. 
        ",positive
05-04-2016,"
Stephanie was great! She was a pleasure to work with and gave solid advice throughout the process. Thanks again, Stephanie!
        ",positive
10-04-2017,"
I really enjoyed the services provided by Stephanie Drewry and her team. They were very friendly and professional. They always responded quickly and had great advice throughout the lending process. 
        ",positive
31-08-2016,"
Bob did amazing job . If I can give more than 5 stars I would . Process went so smooth and stress free . Definitely will respond super fast and super helpful. 100 % satisfaction 
        ",positive
04-03-2017,"
Stephanie and her team were fantastic.  The most helpful and responsive lender Ive ever worked with.  They really go out of their way to provide the best customer service possible.  Would recommend to anyone. 
        ",positive
30-09-2016,"
Working with Chris was an excellent experience, he is knowledgeable, and he follow up with me, in every step of the way.
It really make a big difference to work with a professional like him.
Thank you Chris for all the time and effort you put in our deal.
 
        ",positive
22-07-2017,"
Chris is not a hard sell guy. He earns your business by giving you a great deal and working hard for you. Chris was always responsive and, most of the time, reached out to me before I even contacted him. His follow-up is great as well. I highly recommend him. If you do your part and provide the required information to obtain your loan, this man breaks speed records getting it done. Two thumbs up... Read More
        ",positive
18-07-2016,"
Chris Waymire and his team were spectacular.  I was a first time home buyer and I was Chris w/ Triumph Lending were suggested to me by a mutual friend.  Chris and the Triumph team were responsive and were very proactive in every stage of the deal.  This guy is the real deal, I highly recommend financing through Chris!
        ",positive
02-05-2017,"
Chris Waymire and his team were spectacular.  I was a first time home buyer and I was Chris w/ Triumph Lending were suggested to me by a mutual friend.  Chris and the Triumph team were responsive and were very proactive in every stage of the deal.  This guy is the real deal, I highly recommend financing through Chris!
        ",positive
27-05-2016,"
Triumph Lending has a great team that will walk you through the lending process hassle-free.  They treated me with great care and made sure to answer any questions.  The pre-approval process was easy to complete, and the team were quick to respond every time I needed a pre-approval letter for bidding on a home.  They were able to close on our house within a month as well... Read More
        ",positive
26-10-2017,"
Stephanie Drewry took such wonderful care of us, while we were purchasing a home in another state!  I felt as though we were the only customers, because we received such personal, timely care.
        ",positive
04-10-2017,"
From the very beginning, The Lending Tree took excellent care of us, while we were buying a home in another state.  Every day, they stayed on top of each step, to get our closing, completed on the seller's requested date.  The LT team worked together like a ""well-oiled machine!""
        ",positive
04-01-2017,"
Awesome staff that works well together to support customers throughout the lending process.Marcos, Monica and JC did a phenomenal job keeping me informed and answering all questions I had about my loan and the process.
        ",positive
30-06-2017,"
Marcos and his team were there every step of the way for us. Every time we reached out, we received a response within minutes - this goes for calls, texts and emails! Marcos made this process as easy as I could imagine. I'd recommend him and his team at Triumph to anyone.
        ",positive
02-05-2017,"
I started a process for a mortgage loan with Triumph Lending (Network Funding) in Houston, TX. I was given a pre-approval quickly with a great Interest Rate. I was continually informed via email and phone calls thorough the entire process of the loan. My representative from Triumph Lending (Peter Lammerts) worked tirelessly to make the best deal possible for me in terms of closing costs and interest rate on top of always being available to answer any questions on a loan that, to begin with, looked like it was going to be an easy mortgage loan to process, until some difficulties on my credit report showed up. Peter was very diligent to work on the issues and was able to overcome all of the obstacles in order to do the mortgage closing on time and with my best interest in mind. I highly recommend Peter Lammerts and his team for their professionalism and efficient service.
J... Read More
        ",positive
06-11-2016,"
John and his team were great. Best lender process Ive had with a mortgage.
        ",positive
14-02-2016,"
Marcos is a tremendous asset to Triumph Lending. Both he and Katie were extremely helpful, explaining each step of the way, keeping us informed of all progress, and accomplished everything they said they would do. We closed on time, on the last day of the month as planned, in the midst of high tension from all parties. Great job!!
        ",positive
26-06-2016,"
The team were great to work with. Experienced and professional. A few bumps with seller at the end and Triumph pushed through and we closed, and on time. Thank yall!
        ",positive
27-12-2016,"
Stephanie did a great job and kept me informed at all times.  She seems to have put together an excellent team that all focus on getting the job done and done right.
        ",positive
31-05-2017,"
It was a great experience working with Stephanie and her team.  The loan process went so smoothly that we were able to close 4 days earlier than expected. My realtor had not worked with Triumph before but she made the comment at close that the process went so smoothly because of the great lender and title company that we used.  I would definitely reach out to Triumph for any of my future lending needs... Read More
        ",positive
23-01-2016,"
Bob and Triumph beat other lenders rates and were prompt with approval and closing! 
        ",positive
28-04-2016,"
Bob called me checking on me and answered questions via email within minutes or no later than an hour. He reassured me when another lender was trying to make me think that there were problems with Triumph and I followed my gut and stuck with Bob and Triumph. Bob and Katie were amazing. They beat the other lenders rates by a 3/4 of a percentage and saved me on closing costs as well. The other lender was more strict and closing costs were higher. He is amazing and now we have our home and could not be happier!... Read More
        ",positive
02-02-2017,"
Went above and beyond to make sure I had as much information I needed to close on my home. Great job by Kevin and team to stay connected and provide timely communication to close early. He truly cares about the individual and families and provided a great overall experience for one of the more stressful times in someone's life. Great job overall and thanks again for all your hard work and information that was super helpful.

I truly appreciate his approach and confidence he earned with me knowing he will do what is right for us and his customers... Read More
        ",positive
01-01-2018,"
We had the pleasure of working with John Guerra for our condo purchase.  He made our home loan process much easier than we expected.  Will definitely recommend to family and friends. 
        ",positive
27-12-2016,"
Stephanie was awesome!!! Worked very hard for us to make sure the loan closed.
        ",positive
15-01-2016,"
Triumph's customer service was great.  Stephanie worked very hard to ensure we closed on time and to address/resolve issues that arose prior to closing.  I suggest you use them and specifically request Stephanie Drewry.
        ",positive
21-02-2016,"
This is the second time I have worked with Glen for a home mortgage.  Each time the process went smoothly.  This second time we also had Janel and Salvador helping out.  I was impressed with their responsiveness.  Janel even answered questions during non-business hours and was great with follow up.  I highy recommend them.
        ",positive
30-01-2016,"
John Guerra was super fast in responding and explaining the process. It was the easiest loan process I have done!
        ",positive
11-06-2016,"
I worked with Steven Castaneda a few years back when we were looking at building. We ended up getting pregnant and deciding to hold off. Steve did not push or harass me with calls or emails which I appreciated. A few years later when we decided to move forward with a sale and purchase I remembered how helpful he was and the time he spent explaining things to me before so I contacted him. He was, again, very helpful walking me through it all and answering all my questions about the process. I knew very little about home buying and really appreciated the time. We just closed on our dream home and everything went very smooth.... Read More
        ",positive
17-04-2017,"
I worked with Steven Castaneda a few years back when we were looking at building. We ended up getting pregnant and deciding to hold off. Steve did not push or harass me with calls or emails which I appreciated. A few years later when we decided to move forward with a sale and purchase I remembered how helpful he was and the time he spent explaining things to me before so I contacted him. He was again very helpful waking me through it all and answering all my questions about the process. I knew very little about home buying and really appreciated the time. We just closed on our dream home and everything went very smooth.... Read More
        ",positive
04-03-2017,"
I have been working with John for the last few years. I placed a few offers in different houses and no luck, but John was always there having all the documents needed ready. 
John attention to details, responsiveness and customer service was second to none. He was there in all the failed offers and it was a joy when finally we had an accepted. John was always available by phone or email and responding almost immediately. John helped us to make buying a home a smooth and enjoyable process. Loan documentation was easy to manage.
If you are in the process of buying or refinancing your home, look no further than working with John Guerra... Read More
        ",positive
06-11-2016,"
Matt Pierce went above and beyond. He was able to make suggestions that I didnt know about due to his experience. He also answers at almost every hour of the week. I feel like he worked more hours than he should have for the commission he probably received. I will definitely be contacting him about my next loan. Great guy. Never got annoyed with all my requests. Never felt him express frustration (wouldnt blame him if he was). Always pleasant to talk to. Texting him made the process so much easier.... Read More
        ",positive
17-11-2017,"
Matt Pierce went above and beyond. He was able to make suggestions that I didnt know about due to his experience. He also answers at almost every hour of the week. I feel like he worked more hours than he should have for the commission he probably received. I will definitely be contacting him about my next loan. Great guy. Never got annoyed with all my requests. Never felt him express frustration (wouldnt blame him if he was). Always pleasant to talk to. Texting him made the process so much easier.... Read More
        ",positive
30-06-2017,"
Chris Waymire is the loan officer that I worked with and I had been in contact with him for sometime before I purchased my home. He was very helpful and knowledgeable about the loan process. He made my loan process very easy and I had no problems getting qualified and no delays in the process all the way up to my closing. I would recommend Chris and Triumph Lending to any of my family and friends. Chris helped me get into my dream home and I am truly thankful!... Read More
        ",positive
05-04-2016,"
Very friendly, knowledgeable, and willing to answer any questions. I would highly recommend him for any refinance or home loan.  
        ",positive
24-12-2017,"
I just refinanced my house with LoanSnap. This company is amazing. Everyone I dealt with was friendly, knowledgeable, and willing to answer my questions. I would highly recommenced LoanSnap to anyone that is looking to refinance their home.  My loan officer was Dyllon B., I would highly recommend him. He is very knowledgeable and makes the whole process seem easy. 
        ",positive
23-01-2016,"
Buying a home is complicated, there a multiple parties, and competing interests, and it can be a really stressful and frustrating experiecne. What helps enormously is working with a lender that is upfront about what it can offer and accept, in terms of type of loan, type of property, downpayment, and timing of close.  
I received a call from DLJ when my previous lender changed terms on me two weeks into escrow, and in desperation I had filled out the Lending Tree form in the hope if finding a new lender. 
At the time, I honestly thought my purchase was going to fall through. 
The next day I received a call from a number and a lender I didn't recognize. It was DLJ. Am I glad I answered the phone!
Within minutes, Adan Munoz had me back on track. DLJ's team was, across the board, knowledgable, articulate, well-coordinated, calm and constructive. They offered a product that met my needs perfectly, and got me across the finish line in record time.
Special shout-out to the focused, unflappable, and highly responsive Ranee Martinez... Read More
        ",positive
